Country,Mean SST,Min SST,Max SST,PERIOD
Brunei,29.400736607142857,26.26,32.23,2003
Cambodia,29.600625,28.44,31.8,2003
East Timor,29.201174242424244,26.84,32.96,2003
Indonesia,29.16412372807473,22.18,33.98,2003
Malaysia,29.60019708789996,25.24,33.83,2003
Myanmar,28.61448410939165,25.09,31.8,2003
Philippines,28.555942693711497,23.06,33.54,2003
Singapore,29.96569444444445,27.43,33.11,2003
Thailand,29.64227284012213,26.84,35.0,2003
Vietnam,28.112740556552875,15.92,33.98,2003
Brunei,29.40130208333333,26.11,32.38,2004
Cambodia,29.4184375,27.86,32.09,2004
East Timor,28.941193181818186,26.11,31.8,2004
Indonesia,29.135868737165392,23.64,33.69,2004
Malaysia,29.59859550484379,25.82,34.56,2004
Myanmar,28.68828269675926,24.66,32.38,2004
Philippines,28.479435918813437,22.76,32.67,2004
Singapore,29.939027777777778,27.57,34.27,2004
Thailand,29.49644873679486,26.55,34.27,2004
Vietnam,27.83944768096364,15.77,32.96,2004
Brunei,29.475885416666667,26.41,31.94,2005
Cambodia,29.5659375,27.86,31.94,2005
East Timor,29.231136363636363,26.7,32.67,2005
Indonesia,29.2693299781238,24.66,35.0,2005
Malaysia,29.66063105915143,25.68,35.0,2005
Myanmar,28.930639014130733,25.09,33.98,2005
Philippines,28.5969852699962,22.91,33.69,2005
Singapore,30.011180555555555,27.57,32.38,2005
Thailand,29.58994044663088,26.55,35.0,2005
Vietnam,27.92974586206229,15.92,32.09,2005
Brunei,29.506197916666665,26.55,31.65,2006
Cambodia,29.54686011904762,27.72,32.38,2006
East Timor,28.581599025974025,25.68,31.65,2006
Indonesia,28.88819016712257,20.58,35.0,2006
Malaysia,29.61486578583188,25.24,32.52,2006
Myanmar,28.63830938411057,25.53,31.36,2006
Philippines,28.742284066120707,23.78,32.52,2006
Singapore,29.746875,28.3,31.65,2006
Thailand,29.584654754065664,26.84,35.0,2006
Vietnam,27.97005089325302,15.92,32.38,2006
Brunei,29.453315972222224,26.26,32.09,2007
Cambodia,29.2303125,28.01,31.5,2007
East Timor,28.90821969696969,25.97,31.94,2007
Indonesia,29.09331840088718,22.33,35.0,2007
Malaysia,29.565822828130795,25.82,35.0,2007
Myanmar,28.40160282953761,23.64,31.21,2007
Philippines,28.80829513200908,23.2,32.67,2007
Singapore,29.78798611111111,26.99,32.96,2007
Thailand,29.41609906378594,26.41,34.71,2007
Vietnam,27.866853914667587,15.77,34.71,2007
Brunei,29.533978365384616,26.11,32.09,2008
Cambodia,29.285,27.72,31.21,2008
East Timor,28.732797470674484,25.97,33.11,2008
Indonesia,29.03421360509825,22.33,34.42,2008
Malaysia,29.61745037671595,25.82,32.96,2008
Myanmar,28.552555699948027,24.37,31.36,2008
Philippines,28.877033341608733,22.76,32.38,2008
Singapore,29.764236111111117,27.86,32.96,2008
Thailand,29.42104772249695,25.82,33.83,2008
Vietnam,27.83484797087244,15.19,32.09,2008
Brunei,29.49609375,25.24,32.09,2009
Cambodia,29.35965773809524,26.7,30.92,2009
East Timor,29.13075273079633,26.7,31.5,2009
Indonesia,29.325809423256768,23.78,35.0,2009
Malaysia,29.7638285316074,24.37,32.96,2009
Myanmar,28.733285156093256,25.39,31.5,2009
Philippines,28.689544855243767,22.91,32.67,2009
Singapore,30.04208333333333,26.99,32.81,2009
Thailand,29.519423265258457,25.24,32.96,2009
Vietnam,28.014778884761157,16.06,35.0,2009
Brunei,29.91042708333333,26.99,32.67,2010
Cambodia,29.88583333333333,28.01,31.94,2010
East Timor,29.4891028012685,27.13,32.67,2010
Indonesia,29.71521237293672,25.68,35.0,2010
Malaysia,30.080495919543345,25.82,34.42,2010
Myanmar,29.072733104858106,24.37,32.38,2010
Philippines,29.05536724972937,23.64,33.25,2010
Singapore,30.40659722222222,28.3,33.11,2010
Thailand,30.068317877119004,27.43,35.0,2010
Vietnam,28.54774306603724,16.35,34.13,2010
Brunei,29.338697916666664,24.95,31.8,2011
Cambodia,29.182857142857145,27.86,30.92,2011
East Timor,28.663257575757573,26.11,32.38,2011
Indonesia,29.020959314705845,21.45,33.69,2011
Malaysia,29.63034430374452,25.24,32.96,2011
Myanmar,28.47170197546951,24.95,31.07,2011
Philippines,28.589360622653388,22.91,32.38,2011
Singapore,29.90020833333333,28.01,32.96,2011
Thailand,29.43453848419701,26.99,35.0,2011
Vietnam,27.582337714135598,13.44,31.65,2011
Brunei,29.82432291666667,26.84,32.38,2012
Cambodia,29.541944444444443,27.86,31.5,2012
East Timor,29.08364015151515,26.11,32.38,2012
Indonesia,29.235333961506083,23.2,35.0,2012
Malaysia,29.893287615432595,26.11,35.0,2012
Myanmar,28.678484890147377,24.07,31.8,2012
Philippines,28.79235840616721,22.47,32.67,2012
Singapore,30.283636363636365,28.15,32.52,2012
Thailand,29.727908575153997,27.13,34.13,2012
Vietnam,28.14833834815653,14.17,33.54,2012
Brunei,29.82255753968254,26.99,32.67,2013
Cambodia,29.69604166666667,28.15,32.81,2013
East Timor,29.33375,26.41,32.23,2013
Indonesia,29.46567413787701,23.93,34.13,2013
Malaysia,29.920503194731943,26.26,35.0,2013
Myanmar,28.74826225598936,24.51,31.65,2013
